A=3671 B=8839 C=6722 X=745631793 Y=9278789349 Z=79403376288 M=3421
A=7944 B=8063 C=9332 X=894821903 Y=5488192519 Z=67490336742 M=3098
A=3659 B=7671 C=7469 X=312367674 Y=3015733363 Z=50134398108 M=6138
A=6282 B=6163 C=7774 X=676111183 Y=5733163602 Z=29371232588 M=8384
A=6919 B=3891 C=5505 X=960506000 Y=7857330133 Z=41705242919 M=6542
A=9844 B=4878 C=7662 X=377900106 Y=4602435079 Z=14422133958 M=7691
A=2971 B=5384 C=9045 X=616627918 Y=6207179032 Z=58392297839 M=2291
A=4225 B=9692 C=5817 X=892107340 Y=2241623089 Z=53459013474 M=5925
A=8890 B=9328 C=7808 X=193528316 Y=9617480827 Z=92476062426 M=1087
A=9750 B=5517 C=7854 X=601799487 Y=1071128966 Z=63896514912 M=7774
A=9546 B=7083 C=6808 X=173257792 Y=8739484993 Z=92306027255 M=9224
A=8351 B=7786 C=7189 X=732754944 Y=8135467240 Z=45094543028 M=9708
A=7671 B=4031 C=9496 X=770085314 Y=1751930154 Z=81729495879 M=6387
A=3024 B=4296 C=8265 X=899480152 Y=3312916399 Z=26860579255 M=4184
A=8029 B=8970 C=5372 X=613470822 Y=1218822903 Z=85656452437 M=6118
A=2594 B=6065 C=9506 X=310742379 Y=2648769841 Z=99016301235 M=8592
A=5720 B=3763 C=9448 X=753496436 Y=2395871575 Z=99751251972 M=9234
A=6613 B=3745 C=6486 X=778822392 Y=4303471573 Z=14396275662 M=4569
A=5444 B=4669 C=6120 X=474608133 Y=3865583622 Z=41190898862 M=4315
A=5897 B=7537 C=8476 X=924331521 Y=5138352536 Z=91974403100 M=9388
A=9817 B=3735 C=9998 X=788918716 Y=2514720484 Z=44036057975 M=3425
A=5333 B=7254 C=8114 X=701815517 Y=6309404451 Z=24054124030 M=2183
A=4525 B=3961 C=8638 X=552495249 Y=8814889396 Z=82734875405 M=6694
A=7328 B=6881 C=5630 X=669197754 Y=2729663696 Z=55152059111 M=1751
A=7932 B=7150 C=8730 X=981244731 Y=6230318540 Z=94808767531 M=4713
A=2546 B=6414 C=7468 X=208110904 Y=3932551492 Z=84973428758 M=8171
A=3035 B=3628 C=9533 X=778950191 Y=8815906275 Z=68574629662 M=3150
A=4827 B=6533 C=6921 X=435168767 Y=5692673953 Z=75741835304 M=5677
A=2220 B=8741 C=7986 X=105460822 Y=6922817341 Z=87983170430 M=7622
A=3879 B=9300 C=7186 X=620171333 Y=5502596837 Z=25545882667 M=2407
A=7695 B=7389 C=9823 X=863352459 Y=4341547732 Z=98601508201 M=1121
A=2436 B=5714 C=6634 X=810303502 Y=6428905987 Z=28719148096 M=3040
A=5727 B=3821 C=8102 X=402816323 Y=8113031617 Z=83817861182 M=2702
A=6089 B=8344 C=8289 X=799887128 Y=7423691809 Z=33457325523 M=9408
A=4873 B=4376 C=6837 X=579387236 Y=3528673800 Z=67609737121 M=2517
A=2776 B=3782 C=8382 X=231339690 Y=9134551622 Z=47648181999 M=6819
A=6539 B=9237 C=8820 X=929569583 Y=8863943612 Z=17611389275 M=2012
A=8520 B=8316 C=8773 X=425731115 Y=3495209405 Z=94211999355 M=4425
A=2442 B=6871 C=7207 X=981923197 Y=4584857094 Z=48731570746 M=1666
A=6193 B=8785 C=8902 X=355852608 Y=1097806296 Z=26893715319 M=1876
A=9035 B=9215 C=6440 X=967732904 Y=7920117045 Z=77240855387 M=7731
A=3837 B=9331 C=8669 X=995761417 Y=3747932597 Z=57099869665 M=1648
A=8055 B=6407 C=9939 X=946240619 Y=1382840151 Z=26515514015 M=1619
A=7687 B=8182 C=9130 X=604402741 Y=8720204899 Z=97457107594 M=1398
A=3299 B=8234 C=7096 X=395374817 Y=7621641164 Z=39550685499 M=7862
A=8871 B=4123 C=6639 X=655685429 Y=9159369044 Z=65805960047 M=6105
A=9352 B=5572 C=9529 X=732361750 Y=8988799960 Z=93807771367 M=1023
A=2987 B=9277 C=5979 X=767332163 Y=2458072916 Z=68961171191 M=7977
A=5930 B=5855 C=8348 X=347339281 Y=4811130956 Z=40504405086 M=5532
A=9851 B=6318 C=9923 X=586186764 Y=8489643933 Z=84585260624 M=9880
A=4364 B=7589 C=6846 X=775711503 Y=9560671593 Z=88391896365 M=6662
A=5584 B=8330 C=9246 X=312746469 Y=5587965185 Z=93270033734 M=5308
A=5101 B=5381 C=8219 X=863104318 Y=6875250220 Z=54979408833 M=6248
A=6867 B=3648 C=7904 X=153904356 Y=4874791396 Z=18014690364 M=9122
A=5465 B=8986 C=7552 X=905786509 Y=2303720203 Z=84150685443 M=1995
A=2795 B=5392 C=8429 X=500621280 Y=1918441735 Z=66926225156 M=3886
A=3122 B=6966 C=7713 X=156161420 Y=1569880387 Z=79423319249 M=8222
A=4341 B=5920 C=8997 X=594136425 Y=1733951626 Z=85927201056 M=1989
A=5985 B=4678 C=5536 X=168673101 Y=5150165607 Z=92278926200 M=4146
A=6769 B=4266 C=8141 X=791676113 Y=9863520289 Z=14034963361 M=2790
A=8571 B=3564 C=9919 X=600791167 Y=9563015794 Z=71412991271 M=2808
A=8818 B=4527 C=8381 X=934022270 Y=8824796319 Z=60966163175 M=4331
A=4194 B=5167 C=9726 X=810069393 Y=8529045680 Z=26264352099 M=3873
A=3668 B=5984 C=9996 X=746023512 Y=4711169850 Z=73830416388 M=8076
A=2979 B=7575 C=7294 X=625956323 Y=9117560636 Z=76322965497 M=7555
A=4244 B=4584 C=8445 X=579503656 Y=5483083603 Z=67252441145 M=7639
A=6364 B=5964 C=5229 X=341766669 Y=4665433297 Z=48209010651 M=2512
A=6711 B=6955 C=8181 X=847345657 Y=9473795833 Z=83065477332 M=4249
A=9303 B=8237 C=8866 X=233281344 Y=8780317203 Z=16120505972 M=5821
A=3028 B=7404 C=7722 X=179495467 Y=4250668719 Z=52708838577 M=9945
A=4780 B=4965 C=9747 X=268969566 Y=6667688432 Z=80231916808 M=9462
A=5718 B=5322 C=6809 X=454875973 Y=5279392260 Z=35899896182 M=1361
A=9324 B=6747 C=9007 X=337456448 Y=5694689702 Z=27052555796 M=7551
A=9166 B=6605 C=8165 X=721009836 Y=2729697320 Z=43595887421 M=2942
A=2761 B=7083 C=5255 X=361979795 Y=2821482071 Z=21867840767 M=3213
A=7025 B=5079 C=7495 X=674743677 Y=1725337424 Z=60204426126 M=9105
A=8998 B=6110 C=9503 X=158833090 Y=5208809999 Z=72063355056 M=9414
A=8877 B=3134 C=8305 X=549009543 Y=4205809218 Z=44548441244 M=1480
A=5483 B=7909 C=5005 X=671156019 Y=5280054153 Z=53661975491 M=4057
A=3479 B=7438 C=9384 X=362143173 Y=1596334208 Z=26746991449 M=4994
A=9085 B=7505 C=9069 X=385347010 Y=1267499662 Z=31142658037 M=9732
A=9049 B=5208 C=7503 X=128767029 Y=9105695627 Z=51656667151 M=7437
A=8737 B=8122 C=9531 X=358847724 Y=3916613769 Z=26512124669 M=6471
A=4038 B=9529 C=9266 X=260594392 Y=9117711596 Z=85555186222 M=9275
A=8939 B=7887 C=8446 X=198113588 Y=1564644908 Z=51892341275 M=2444
A=4157 B=7992 C=7282 X=112479672 Y=6806914792 Z=90255439581 M=5316
A=2562 B=6596 C=8134 X=825488723 Y=8199300924 Z=26583691122 M=2571
A=2975 B=5256 C=7152 X=895402656 Y=6690745754 Z=92914497721 M=2794
A=6116 B=5280 C=9486 X=189407284 Y=3765118273 Z=45567819271 M=7285
A=6973 B=9080 C=7673 X=296350484 Y=9124917070 Z=91555298927 M=1793
A=4577 B=5585 C=5725 X=375945496 Y=8696559586 Z=88364249071 M=4993
A=5617 B=4790 C=8084 X=232761225 Y=3217387954 Z=93347144659 M=1222
A=6837 B=4427 C=8568 X=274117181 Y=4297089822 Z=40875879547 M=4662
A=9889 B=9730 C=8374 X=523217013 Y=6027391465 Z=94308936236 M=2558
A=4163 B=7501 C=5902 X=820062433 Y=9375624602 Z=62006208189 M=7404
A=2531 B=3005 C=8376 X=539058476 Y=7114449632 Z=32305266133 M=9550
A=3846 B=9422 C=7214 X=619143973 Y=3021771262 Z=65660662898 M=8288
A=8666 B=5951 C=7293 X=102656235 Y=2586747013 Z=57347363708 M=1533
A=2985 B=3342 C=6048 X=277334845 Y=8449016305 Z=76167506334 M=3037
A=5139 B=7780 C=5671 X=110079916 Y=7618500596 Z=10630640393 M=2422
A=5166 B=7857 C=6182 X=264544935 Y=5674799293 Z=20272628600 M=6885
A=3269 B=4968 C=9773 X=545798301 Y=9310019652 Z=25665117414 M=1434
A=4718 B=5315 C=9855 X=936600005 Y=9454386767 Z=95337844500 M=2470
A=5836 B=8269 C=8807 X=165588469 Y=7779988817 Z=30570633641 M=3289
A=4966 B=3311 C=5437 X=964316293 Y=9088340648 Z=18691210150 M=8162
A=8573 B=3670 C=6500 X=985493883 Y=5228610506 Z=55692019195 M=7040
A=2363 B=7183 C=5718 X=389867574 Y=2464659415 Z=10216706183 M=2752
A=2182 B=6249 C=6388 X=443573191 Y=6543106164 Z=95217860982 M=8911
A=6826 B=6762 C=7330 X=843481080 Y=4081678806 Z=40964055044 M=6469
A=3017 B=7136 C=6330 X=303585201 Y=9476369227 Z=68803884537 M=7459
A=6747 B=6280 C=5529 X=387302657 Y=8936763279 Z=83867763906 M=1666
A=2240 B=4263 C=9945 X=872818078 Y=4710753166 Z=91320746497 M=8549
A=3261 B=3164 C=7591 X=102144561 Y=9181398754 Z=57766201291 M=6977
A=8521 B=4872 C=8180 X=477508510 Y=7144305028 Z=74475149122 M=2466
A=9598 B=5160 C=9828 X=165070898 Y=4323215150 Z=24756480895 M=5966
A=2795 B=9562 C=8826 X=403019327 Y=5092820301 Z=82150743654 M=7671
A=5041 B=3472 C=7107 X=672138097 Y=8126335940 Z=92733263296 M=3109
A=3527 B=9095 C=8653 X=433424300 Y=8489478008 Z=41566054072 M=5313
A=8723 B=3562 C=9614 X=194914698 Y=2658287022 Z=47770609725 M=6877
A=8481 B=3483 C=8629 X=299192369 Y=4393367729 Z=14404213275 M=6129
A=9867 B=9404 C=9339 X=952903139 Y=7442604958 Z=52992454840 M=5163
A=3954 B=3799 C=6838 X=648434415 Y=1542934229 Z=76209485632 M=6393
A=9263 B=5573 C=6939 X=360702120 Y=6089039708 Z=96617298666 M=5455
A=8285 B=8218 C=8073 X=252102940 Y=2778580777 Z=95390576331 M=1591
A=6827 B=9959 C=6707 X=545138392 Y=6464922743 Z=57391130588 M=2046
A=9438 B=3204 C=5678 X=325619969 Y=9487765198 Z=27724920116 M=1229
A=4327 B=5423 C=7325 X=697550012 Y=9205934773 Z=82553191789 M=6843
A=9083 B=6958 C=9884 X=304404621 Y=7019886592 Z=15820303401 M=3394
A=9568 B=9261 C=7106 X=731128498 Y=2479182805 Z=38012089254 M=7625
A=4198 B=3788 C=5136 X=728897055 Y=6477328278 Z=48955809299 M=6523
A=9931 B=3703 C=9676 X=664713119 Y=1469663194 Z=56329067341 M=2317
A=5624 B=5427 C=8593 X=582084203 Y=9264280118 Z=59479421569 M=1103
A=9846 B=9105 C=5402 X=507286785 Y=8632593246 Z=96454036590 M=7489
A=6704 B=7574 C=9049 X=277502553 Y=3851317353 Z=45265945397 M=3029
A=6846 B=8904 C=6060 X=400770128 Y=9075559904 Z=23911580222 M=3475
A=2571 B=3965 C=9036 X=637040341 Y=7883256153 Z=75220922671 M=6311
A=2968 B=8153 C=6216 X=871607215 Y=8906980124 Z=69651100939 M=9711
A=3228 B=5319 C=8859 X=308424547 Y=1824633724 Z=31020029284 M=3959
A=5037 B=4015 C=7420 X=731849346 Y=8333589595 Z=36096687928 M=8688
A=8292 B=7289 C=8828 X=325032825 Y=6743247118 Z=34269884255 M=7271
A=6605 B=7024 C=6514 X=633226057 Y=1506733375 Z=11754666683 M=7799
A=7693 B=7477 C=9921 X=210952684 Y=5870849550 Z=56968115492 M=9473
A=3028 B=8683 C=6308 X=657851772 Y=4596090952 Z=46501919193 M=8472
A=3614 B=8214 C=9226 X=531110351 Y=2030971385 Z=97311018754 M=3025
A=3850 B=5836 C=9622 X=965113841 Y=5125486137 Z=13647502779 M=4165
A=7055 B=4305 C=5104 X=877642086 Y=4404123481 Z=25628004660 M=2339
A=4062 B=8233 C=9675 X=435388976 Y=2331787637 Z=98598418131 M=5389
A=9573 B=4557 C=7998 X=382710302 Y=4290382106 Z=25182861901 M=3479
A=4534 B=5628 C=7638 X=583955744 Y=1187584439 Z=58374856490 M=6374
A=2984 B=5214 C=9423 X=640699266 Y=2000313332 Z=28053290846 M=1526
A=8631 B=3048 C=7732 X=917039515 Y=4768986216 Z=54810536589 M=8134
A=2149 B=3395 C=6183 X=283650686 Y=2645284612 Z=94395532014 M=3382
A=8595 B=8871 C=5948 X=585984919 Y=1855228290 Z=23658151711 M=3639
A=8568 B=7364 C=5146 X=712837278 Y=4033431348 Z=87244314309 M=8910
A=6888 B=7318 C=8173 X=837426199 Y=4347326610 Z=50935106938 M=2417
A=2304 B=6291 C=9092 X=281745816 Y=9049023274 Z=93724094959 M=8033
A=5337 B=4820 C=9243 X=350314081 Y=5907534569 Z=29441350679 M=3311
A=7932 B=9147 C=5549 X=215952989 Y=8102960363 Z=42832760428 M=4718
A=6392 B=3758 C=6544 X=310318560 Y=6956991351 Z=36617376575 M=8476
A=9172 B=3556 C=7420 X=822030653 Y=6742311186 Z=19841210609 M=2395
A=4840 B=4210 C=6734 X=404744339 Y=5408362881 Z=12249749504 M=5216
A=7527 B=4692 C=9272 X=932405468 Y=1642898363 Z=42052450885 M=2061
A=9264 B=6691 C=6973 X=271262079 Y=3099671855 Z=47291999354 M=7940
A=3558 B=3587 C=5091 X=879912493 Y=2043239723 Z=94036151639 M=9997
A=5151 B=3287 C=6559 X=333532744 Y=1270227427 Z=97380216217 M=7023
A=5497 B=5050 C=5068 X=871131505 Y=5599479409 Z=37720097774 M=5022
A=3954 B=9863 C=6783 X=510283538 Y=7628465157 Z=98758432387 M=8797
A=7240 B=9137 C=8641 X=521937472 Y=2597880803 Z=62508845727 M=8145
A=4615 B=5033 C=6578 X=704597737 Y=9649337421 Z=94934280765 M=3869
A=4053 B=5959 C=5065 X=941669660 Y=8047384639 Z=51592164271 M=1710
A=5311 B=6557 C=8112 X=879856552 Y=7587019898 Z=51431692501 M=8993
A=8129 B=6878 C=7768 X=915636326 Y=6967295356 Z=36675372048 M=5671
A=5635 B=5423 C=5752 X=775735027 Y=5881868471 Z=78742018982 M=4598
A=3919 B=6528 C=9268 X=756121996 Y=9777158357 Z=53453282139 M=4960
A=5550 B=9562 C=7403 X=866019678 Y=7715306777 Z=50387550662 M=3167
A=6139 B=7329 C=9674 X=165618785 Y=1464468195 Z=81670936499 M=7897
A=9837 B=4028 C=8918 X=705651156 Y=3267565255 Z=80895460886 M=5685
A=4172 B=5794 C=6929 X=945971591 Y=1381192875 Z=55319112945 M=5439
A=4423 B=4860 C=9640 X=888465159 Y=4320351647 Z=80483522233 M=9335
A=3455 B=8210 C=9619 X=858034681 Y=6293674705 Z=45680442107 M=5566
A=5029 B=8422 C=7246 X=680713903 Y=8242611806 Z=78751126695 M=2978
A=9417 B=3291 C=8483 X=895873880 Y=9220470486 Z=36291372697 M=4686
A=9710 B=6915 C=8763 X=192255126 Y=6109032745 Z=48816770479 M=7620
A=3168 B=7438 C=8087 X=561520839 Y=8517021877 Z=24530383410 M=5914
A=3914 B=7053 C=7275 X=183964611 Y=8346227021 Z=29346971222 M=4602
A=8165 B=6903 C=8429 X=904003039 Y=8806678804 Z=25350749512 M=7014
A=7126 B=5747 C=8205 X=871247515 Y=6947677656 Z=37529903962 M=3622
A=5369 B=9778 C=8820 X=615060053 Y=7205156941 Z=18282717039 M=2919
A=5008 B=5897 C=9230 X=423716966 Y=4697577166 Z=63467133791 M=7617
A=6045 B=8297 C=8741 X=215482312 Y=9537230836 Z=92257370318 M=4044
A=8510 B=8230 C=5494 X=926755683 Y=2645470788 Z=70364472233 M=4718
A=3574 B=3014 C=7024 X=904753380 Y=5660901040 Z=66280511232 M=9925
A=3262 B=5963 C=8046 X=348017335 Y=2769660593 Z=95042357085 M=5045
A=7160 B=6677 C=7303 X=561626101 Y=3917138274 Z=92934598214 M=7066
A=8905 B=5682 C=7203 X=829431679 Y=3434464265 Z=90151007529 M=5954
A=5003 B=5215 C=6290 X=218944927 Y=2712873700 Z=29622900935 M=3758
A=7704 B=6312 C=5733 X=164594837 Y=7436149563 Z=46814314526 M=6238
A=8146 B=6826 C=5806 X=472706410 Y=6398890946 Z=21701333929 M=4420
A=3116 B=4879 C=5126 X=208950046 Y=3222699273 Z=84311286425 M=7484
A=5312 B=8223 C=8116 X=992877850 Y=6776897754 Z=37901899052 M=4703
A=5335 B=4525 C=6713 X=146084384 Y=6657912937 Z=46677985499 M=5358
A=9775 B=9696 C=6593 X=612715856 Y=5706312087 Z=37274627162 M=5735
A=7002 B=3208 C=8134 X=252710641 Y=4921438745 Z=53958655601 M=2762
A=9801 B=5970 C=9537 X=980680608 Y=3705555164 Z=29312353307 M=9393
A=2715 B=4321 C=8474 X=481480117 Y=6432583502 Z=58394768183 M=2840
A=9791 B=9207 C=8478 X=692412598 Y=4622159293 Z=23008011020 M=7352
A=6400 B=6921 C=8176 X=686474415 Y=1690691300 Z=64589457928 M=3549
A=7622 B=3210 C=9072 X=686725805 Y=9114330914 Z=19485222335 M=7508
A=6982 B=3202 C=5714 X=559686692 Y=1502478783 Z=47886306250 M=4523
A=4083 B=5551 C=8884 X=959864609 Y=2483803590 Z=64923797010 M=3312
A=3133 B=7081 C=5919 X=908211648 Y=6062739462 Z=46266423158 M=9046
A=5642 B=5970 C=7996 X=271307105 Y=6448504408 Z=50858323741 M=6276
A=5888 B=3577 C=6600 X=630239232 Y=4751718649 Z=91291231479 M=7225
A=9931 B=6669 C=6324 X=190645553 Y=8862266494 Z=52221588805 M=4550
A=3920 B=6674 C=5385 X=425134109 Y=3120927618 Z=44949398205 M=9352
A=9481 B=6167 C=6873 X=224277584 Y=4938507401 Z=99143727495 M=6935
A=5137 B=6409 C=9967 X=105734522 Y=1209211100 Z=26905575251 M=8529
A=2795 B=6607 C=7317 X=480766841 Y=7049773380 Z=51371901752 M=2007
A=3934 B=8382 C=8119 X=336703228 Y=7394263411 Z=85521823015 M=5906
A=5835 B=6481 C=7120 X=435421269 Y=1047088796 Z=84323706539 M=7093
A=2120 B=9438 C=5422 X=364625359 Y=7786665005 Z=30358911706 M=5180
A=8031 B=7936 C=6499 X=254039810 Y=2947612139 Z=63230907136 M=5525
A=8766 B=8998 C=8799 X=322869200 Y=6813505143 Z=75694055583 M=6770
A=9009 B=8524 C=7729 X=377353889 Y=8326262414 Z=42618684993 M=6734
A=5088 B=9829 C=8807 X=423995736 Y=2985000269 Z=15463789525 M=1531
A=4953 B=3307 C=7933 X=252918251 Y=9211757894 Z=29325440110 M=6272
A=2258 B=8983 C=5189 X=139386933 Y=6726536766 Z=96304345169 M=6556
A=8952 B=5298 C=8923 X=611822464 Y=7570974763 Z=59121492675 M=7884
A=8980 B=9742 C=9027 X=623885918 Y=9646864177 Z=43429018776 M=8731
A=2375 B=4737 C=6007 X=312686392 Y=2263207833 Z=44302609111 M=2755
A=6521 B=3105 C=6519 X=610882175 Y=1288356665 Z=92429682383 M=5702
A=9100 B=6044 C=8775 X=737100676 Y=7407153953 Z=40236468742 M=4970
A=8165 B=9229 C=8278 X=857864628 Y=7700675706 Z=59965986082 M=1371
A=2690 B=7569 C=9596 X=694113430 Y=8821705082 Z=24846257618 M=9776
A=4859 B=7222 C=6525 X=804370511 Y=4508012470 Z=83079718965 M=5869
A=9868 B=8004 C=8193 X=328114152 Y=1003356291 Z=85514195837 M=1542
A=8274 B=7061 C=7538 X=788156179 Y=1114768946 Z=99216593291 M=2598
A=9004 B=5685 C=8805 X=630627529 Y=4311563601 Z=47370631986 M=8820
A=3796 B=9137 C=7913 X=802611958 Y=4832028488 Z=62855176378 M=2066
A=7160 B=4016 C=9789 X=846598110 Y=2290661924 Z=33313776139 M=6977
A=3483 B=9165 C=8680 X=442940894 Y=8136801131 Z=60865216125 M=9204
A=7129 B=5847 C=6082 X=589269058 Y=4265492847 Z=43500188448 M=4192
A=8389 B=8530 C=8937 X=389910260 Y=1245455348 Z=20994236732 M=9120
A=6330 B=4754 C=8024 X=592438992 Y=7723845398 Z=46577089610 M=3379
A=2433 B=7400 C=5039 X=363364339 Y=9011233387 Z=18033312968 M=4314
A=3277 B=8488 C=5199 X=332183327 Y=8894319373 Z=40518815322 M=4998
A=7753 B=5375 C=8990 X=376562368 Y=7775005903 Z=27601365234 M=1899
A=4348 B=6256 C=9404 X=201063081 Y=2558928493 Z=82656558842 M=3598
A=4084 B=8064 C=5749 X=472749088 Y=6327851911 Z=67231973822 M=1254
A=7685 B=3348 C=5279 X=861023552 Y=9327737680 Z=69841287905 M=2616
A=9688 B=6323 C=9438 X=129426048 Y=4333048769 Z=83994161447 M=2155
A=4597 B=3603 C=9886 X=431008007 Y=1228674426 Z=26785566054 M=5806
A=8275 B=3951 C=7284 X=578612394 Y=7276421863 Z=51630938973 M=7197
A=9851 B=6030 C=6024 X=911939679 Y=6051758786 Z=48310637774 M=7504
A=3253 B=4838 C=5822 X=487435741 Y=7225018282 Z=98668183593 M=5720
A=5066 B=9507 C=9880 X=391329168 Y=3982408539 Z=86063421520 M=6403
A=2658 B=3940 C=7839 X=675043477 Y=4256611818 Z=51405474415 M=5385
A=3609 B=7754 C=6726 X=893343722 Y=8347306333 Z=71395813305 M=3578
A=6542 B=7806 C=9188 X=259275449 Y=4243261263 Z=22104730526 M=3723
A=2297 B=9982 C=7012 X=554179154 Y=3905697406 Z=57619732419 M=5579
A=8425 B=3112 C=5923 X=860996140 Y=8378007628 Z=81458766241 M=6444
A=5059 B=5349 C=6567 X=662335375 Y=7808387449 Z=74429214328 M=3812
A=8483 B=9486 C=9774 X=205881952 Y=1514873853 Z=58767538928 M=9380
A=8486 B=5793 C=8937 X=291428265 Y=7977587231 Z=91191969603 M=1840
A=9035 B=8906 C=7014 X=784503698 Y=6761251970 Z=71404692612 M=9932
A=5522 B=7108 C=9488 X=325645846 Y=3293706177 Z=32599747944 M=6856
A=6505 B=9162 C=6140 X=571622061 Y=5063447169 Z=97909702845 M=5589
A=5748 B=3242 C=5734 X=818370885 Y=1297281483 Z=38837728452 M=3655
A=5949 B=9564 C=8659 X=929026917 Y=4867424120 Z=25286591065 M=7379
A=5355 B=5901 C=5585 X=405715133 Y=9147462321 Z=17938739173 M=9655
A=3473 B=9377 C=5312 X=848999202 Y=8806163753 Z=71693263900 M=6015
A=9730 B=8862 C=6767 X=563804402 Y=8707107954 Z=51629016544 M=6729
A=9912 B=6784 C=8808 X=543841219 Y=5833885604 Z=50255792460 M=6896
A=2519 B=7624 C=8165 X=129447097 Y=5268982233 Z=95827717580 M=4258
A=7586 B=6263 C=7648 X=725552761 Y=5471852755 Z=99620761994 M=5530
A=4370 B=9362 C=9384 X=189519949 Y=6919389556 Z=95073786557 M=9612
A=4964 B=6610 C=9789 X=819684118 Y=6449914746 Z=74395751320 M=3925
A=7479 B=7082 C=6880 X=601343428 Y=6455216528 Z=16265816134 M=4486
A=8120 B=5881 C=6395 X=113653585 Y=4015818403 Z=25432439151 M=2874
A=5533 B=8378 C=7264 X=250071095 Y=6633092720 Z=83003099237 M=9222
A=4180 B=4478 C=8669 X=379123359 Y=6577226434 Z=31844233564 M=4321
A=7126 B=3541 C=9817 X=629265863 Y=9615412794 Z=37644374977 M=7848
A=9606 B=8095 C=6080 X=385522353 Y=1264848918 Z=97744626411 M=8487
A=5490 B=5559 C=7018 X=142436512 Y=7890897683 Z=86669531906 M=7452
A=3762 B=8520 C=9131 X=223953580 Y=8703046429 Z=38505042356 M=8244
A=4047 B=5665 C=5186 X=273208478 Y=3808689263 Z=23736816729 M=7024
A=3056 B=5697 C=9912 X=179572844 Y=8292165742 Z=54133164737 M=6563
A=2023 B=8366 C=5566 X=894210766 Y=2504320221 Z=85495458465 M=8439
A=9197 B=7691 C=8041 X=552780050 Y=3776797372 Z=71684517347 M=1593
A=4698 B=9130 C=8486 X=245037316 Y=9829086985 Z=12553354563 M=2646
A=9885 B=4587 C=8262 X=914994340 Y=1752730711 Z=91762848935 M=9258
A=6022 B=7874 C=5868 X=590015842 Y=7018047604 Z=21987913421 M=4365
A=8148 B=7002 C=6448 X=495539453 Y=8148503546 Z=28345652353 M=3716
A=2739 B=8354 C=7627 X=560498106 Y=9435898535 Z=26184308649 M=1752
A=2627 B=8329 C=7981 X=296068966 Y=2793624309 Z=19691753677 M=2323
A=6846 B=9668 C=5870 X=441537603 Y=5323624672 Z=42449509049 M=4406
A=4706 B=8079 C=5737 X=228296143 Y=8865046675 Z=89837038863 M=6885
A=2289 B=6513 C=6867 X=535586877 Y=5536866056 Z=20839752430 M=6943
A=5613 B=5295 C=8640 X=967296136 Y=5131495331 Z=77305144298 M=9625
A=4210 B=8767 C=5537 X=789611822 Y=9103494201 Z=77677502145 M=1982
A=2897 B=9143 C=5838 X=272798594 Y=9286694419 Z=35162277086 M=1015
A=8362 B=8132 C=5827 X=310547850 Y=1142227374 Z=24997700890 M=3721
A=5992 B=3225 C=7246 X=111494958 Y=1668178133 Z=37765596203 M=6245
A=5648 B=6283 C=6783 X=316162476 Y=5949553473 Z=94856678513 M=9194
A=6115 B=8198 C=5980 X=124657159 Y=4801137900 Z=42445845028 M=6855
A=6016 B=3235 C=6338 X=121011638 Y=8075615933 Z=20773400197 M=9178
A=5550 B=4406 C=8171 X=705776146 Y=5411375478 Z=81041721855 M=1329
A=6344 B=6370 C=5236 X=413765955 Y=9412496548 Z=55279584930 M=2417
A=2367 B=6910 C=6751 X=195828254 Y=2578013031 Z=67611813375 M=2341
A=3199 B=4715 C=8994 X=135890297 Y=5274169262 Z=67546180574 M=7673
A=9960 B=5007 C=9296 X=770367813 Y=8101284563 Z=62144923116 M=1794
A=5458 B=6850 C=9577 X=534848540 Y=2048239131 Z=61362010900 M=6564
A=8250 B=8092 C=6279 X=556934733 Y=6793930146 Z=98749201513 M=6944
A=2809 B=5810 C=6951 X=638091666 Y=5099369777 Z=58134912734 M=4337
A=4780 B=4893 C=9568 X=428066732 Y=6901389122 Z=57973444018 M=2625
A=3492 B=4996 C=5071 X=518165080 Y=8047797918 Z=81873971693 M=8358
A=5488 B=4717 C=5881 X=404113928 Y=2141586756 Z=63893920629 M=9585
A=7866 B=9856 C=7113 X=131323349 Y=7590332570 Z=41618712768 M=3189
A=7499 B=7679 C=5948 X=801961424 Y=6274397699 Z=59295300415 M=8770
A=4232 B=6590 C=5221 X=352476933 Y=2183634488 Z=79956943976 M=3162
A=4305 B=5021 C=7673 X=789450444 Y=9054244904 Z=21406271224 M=4251
A=9944 B=9870 C=9243 X=751921511 Y=9729330061 Z=14379517087 M=8428
A=8433 B=3791 C=8924 X=932393569 Y=1317257001 Z=31620288189 M=9206
A=5184 B=7608 C=9105 X=458037671 Y=9209054013 Z=22064176379 M=5466
A=6916 B=5196 C=8322 X=515795059 Y=6418543565 Z=58681492536 M=2733
A=4674 B=3451 C=6258 X=252273624 Y=3342757426 Z=70089304041 M=9399
A=2030 B=3937 C=6829 X=965109298 Y=9922512960 Z=59270527964 M=7268
A=8446 B=6140 C=8370 X=110587080 Y=7614839775 Z=18721830087 M=5457
A=6093 B=7748 C=8102 X=927326435 Y=3432701458 Z=85122942332 M=8400
A=2615 B=5285 C=6306 X=558106886 Y=5892133511 Z=71245684542 M=9975
A=7860 B=5529 C=8157 X=546089856 Y=2144371934 Z=10838199487 M=7952
A=3940 B=5187 C=5350 X=186874610 Y=7912283971 Z=27363469437 M=3976
A=7813 B=9400 C=8775 X=555233420 Y=6927482399 Z=38015837177 M=9766
